                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  101065843 |  100496125 |          0 |          0 |          0 |          0 |          0 |          0 |  100457895 |  100570555 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600 |  118255600
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.85 |       0.85 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.85 |       0.85 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900
  Idle time (ns)                     |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |    2846947 |    3407461 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |    4060817 |    4229277 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900 |   29563900
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       9.6% |      11.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      13.7% |      14.3% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    3947471 |    3843759 |          0 |          0 |          0 |          0 |          0 |          0 |    3837403 |    3842818 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      32366 |      26698 |          0 |          0 |          0 |          0 |          0 |          0 |      26167 |      26796 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.81% |      0.69% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.68% |      0.69% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
