                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  Instructions                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |   149091579 |   217029236 |           0 |           0 |           0 |           0 |           0 |           0 |   138507694 |  1372201242 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800 |  1512626800
  IPC                                |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.10 |        0.14 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.09 |        0.91 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700
  Idle time (ns)                     |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   334933956 |   346455885 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   339950898 |    49090472 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700 |   378156700
  Idle time (%)                      |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |       88.6% |       91.6% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |       89.9% |       13.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |    21027280 |     1224420 |           0 |           0 |           0 |           0 |           0 |           0 |    13611159 |   155443056 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |       19739 |       62064 |           0 |           0 |           0 |           0 |           0 |           0 |       51394 |    15148119 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.09% |       4.82% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.38% |       8.88% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
